#nombre|region|elipsoide|dx|dy|dz|Rx|Ry|Rz|e
Arc 1960|MEAN Kenya; Tanzania|Clarke 1880|-160.000000|-6.000000|-302.000000|0.000000|0.000000|0.000000|0.000000
Arc 1960|Kenya|Clarke 1880|-157.000000|-2.000000|-299.000000|0.000000|0.000000|0.000000|0.000000
Arc 1960|Taanzania|Clarke 1880|-175.000000|-23.000000|-303.000000|0.000000|0.000000|0.000000|0.000000
Ascension Island 1958|Ascension Island|International 1924|-205.000000|107.000000|53.000000|0.000000|0.000000|0.000000|0.000000
Astro Beacon E 1945|Iwo Jima|International 1924|145.000000|75.000000|-272.000000|0.000000|0.000000|0.000000|0.000000
Astro DOS 71/4|St Helena Island|International 1924|-320.000000|550.000000|-494.000000|0.000000|0.000000|0.000000|0.000000
Astro Tern Island (FRIG) 1961|Tern Island|International 1924|114.000000|-116.000000|-333.000000|0.000000|0.000000|0.000000|0.000000
Astronomical Station 1952|Marcus Island|International 1924|124.000000|-234.000000|-25.000000|0.000000|0.000000|0.000000|0.000000
Australian Geodetic 1966|Australia; Tasmania|Australian National|-133.000000|-48.000000|148.000000|0.000000|0.000000|0.000000|0.000000
Australian Geodetic 1984|Australia; Tasmania|Australian National|-134.000000|-48.000000|149.000000|0.000000|0.000000|0.000000|0.000000
Ayabelle Lighthouse|Djibouti|Clarke 1880|-79.000000|-129.000000|145.000000|0.000000|0.000000|0.000000|0.000000
Bellevue (IGN)|Efate and Erromango Islands|International 1924|-127.000000|-769.000000|472.000000|0.000000|0.000000|0.000000|0.000000
Bermuda 1957|Bermuda|Clarke 1866|-73.000000|213.000000|296.000000|0.000000|0.000000|0.000000|0.000000
Bissau|Guinea-Bissau|International 1924|-173.000000|253.000000|27.000000|0.000000|0.000000|0.000000|0.000000
Bogota Observatory|Colombia|International 1924|307.000000|304.000000|-318.000000|0.000000|0.000000|0.000000|0.000000
Bukit Rimpah|Indonesia (Bangka and Belitung Ids)|Bessel 1841|-384.000000|664.000000|-48.000000|0.000000|0.000000|0.000000|0.000000
Camp Area Astro|Antarctica (McMurdo Camp Area)|International 1924|-104.000000|-129.000000|239.000000|0.000000|0.000000|0.000000|0.000000
Campo Inchauspe|Argentina|International 1924|-148.000000|136.000000|90.000000|0.000000|0.000000|0.000000|0.000000
Canton Astro 1966|Phoenix Islands|International 1924|298.000000|-304.000000|-375.000000|0.000000|0.000000|0.000000|0.000000
Cape|South Africa|Clarke 1880|-136.000000|-108.000000|-292.000000|0.000000|0.000000|0.000000|0.000000
Cape Canaveral|Bahamas; Florida|Clarke 1866|-2.000000|151.000000|181.000000|0.000000|0.000000|0.000000|0.000000
Carthage|Tunisia|Clarke 1880|-263.000000|6.000000|431.000000|0.000000|0.000000|0.000000|0.000000
CH-1903|Swiss|Bessel 1841|674.000000|15.000000|405.000000|0.000000|0.000000|0.000000|0.000000
Chatham Island Astro 1971|New Zealand (Chatham Island)|International 1924|175.000000|-38.000000|113.000000|0.000000|0.000000|0.000000|0.000000
Chua Astro|Paraguay|International 1924|-134.000000|229.000000|-29.000000|0.000000|0.000000|0.000000|0.000000
Corrego Alegre|Brazil|International 1924|-206.000000|172.000000|-6.000000|0.000000|0.000000|0.000000|0.000000
D48 Slovenia|Slovenia|Bessel 1841|426.9|142.6|460.100000|-4.910000|-4.49000|12.42000|17.100000
Dabola|Guinea|Clarke 1880|-83.000000|37.000000|124.000000|0.000000|0.000000|0.000000|0.000000
Deception Island|Deception Island; Antarctia|Clarke 1880|260.000000|12.000000|-147.000000|0.000000|0.000000|0.000000|0.000000
Djakarta (Batavia)|Indonesia (Sumatra)|Bessel 1841|-377.000000|681.000000|-50.000000|0.000000|0.000000|0.000000|0.000000
DOS 1968|New Georgia Islands (Gizo Island)|International 1924|230.000000|-199.000000|-752.000000|0.000000|0.000000|0.000000|0.000000
Easter Island 1967|Easter Island|International 1924|211.000000|147.000000|111.000000|0.000000|0.000000|0.000000|0.000000
EGSA87|Greece|GRS 80|-200.1|73.9|246.0|0.000000|0.000000|0.000000|0.000000
Estonia; Coordinate System 1937|Estonia|Bessel 1841|374.000000|150.000000|588.000000|0.000000|0.000000|0.000000|0.000000
ETRS89|Europe|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Cyprus|International 1924|-104.000000|-101.000000|-140.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Egypt|International 1924|-130.000000|-117.000000|-151.000000|0.000000|0.000000|0.000000|0.000000
European 1950|England; Channel Islands; Scotland; Shetland Islands|International 1924|-86.000000|-96.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|England; Ireland; Scotland; Shetland Islands|International 1924|-86.000000|-96.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Finland; Norway|International 1924|-87.000000|-95.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Greece|International 1924|-84.000000|-95.000000|-130.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Iran|International 1924|-117.000000|-132.000000|-164.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Italy (Sardinia)|International 1924|-97.000000|-103.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Italy (Sicily)|International 1924|-97.000000|-88.000000|-135.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Malta|International 1924|-107.000000|-88.000000|-149.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Austria; Belgium; Denmark; Finland|International 1924|-87.000000|-98.000000|-121.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN France; W Germany; Gibraltar; Greece|International 1924|-87.000000|-98.000000|-121.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Italy; Luxembourg; Netherlands; Norway|International 1924|-87.000000|-98.000000|-121.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Portugal; Spain; Sweden; Switzerland|International 1924|-87.000000|-98.000000|-121.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Austria; Denmark; France|International 1924|-87.000000|-96.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN W Germany; Netherlands; Switzerland|International 1924|-87.000000|-96.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Iraq; Israel; Jordan; Lebanon|International 1924|-103.000000|-106.000000|-141.000000|0.000000|0.000000|0.000000|0.000000
European 1950|MEAN Kuwait; Saudi Arabia; Syria|International 1924|-103.000000|-106.000000|-141.000000|0.000000|0.000000|0.000000|0.000000
European 1950|Portugal|International 1924|-84.000000|-107.000000|-120.000000|0.000000|0.000000|0.000000|0.000000
European 1950|España|International 1924|-131.032|-100.251|-163.354|1.2438|0.0195|1.1436|9.39
European 1950|España Noroeste|International 1924|-178.383|-83.172|-221.293|-0.5401|0.5319|0.1263|21.2
European 1950|España Baleares|International 1924|-181.4609|-90.2931|-187.1902|-0.1435|-0.4922|0.3935|17.57
European 1950|Tunisia|International 1924|-112.000000|-77.000000|-145.000000|0.000000|0.000000|0.000000|0.000000
European 1979|MEAN Austria; Finland; Netherlands; Norway|International 1924|-86.000000|-98.000000|-119.000000|0.000000|0.000000|0.000000|0.000000
European 1979|MEAN Spain; Sweden; Switzerland|International 1924|-86.000000|-98.000000|-119.000000|0.000000|0.000000|0.000000|0.000000
Finland HAYFORD|Finland|International 1924|-78.00|-231.00|-97.00|0.000000|0.000000|0.000000|0.000000
Fort Thomas 1955|Nevis; St. Kitts (Leeward Islands)|Clarke 1880|-7.000000|215.000000|225.000000|0.000000|0.000000|0.000000|0.000000
Gan 1970|Republic of Maldives|International 1924|-133.000000|-321.000000|50.000000|0.000000|0.000000|0.000000|0.000000
Geodetic Datum 1949|New Zealand|International 1924|84.000000|-22.000000|209.000000|0.000000|0.000000|0.000000|0.000000
Graciosa Base SW 1948|Azores (Faial; Graciosa; Pico; Sao Jorge; Terceira)|International 1924|-104.000000|167.000000|-38.000000|0.000000|0.000000|0.000000|0.000000
Guam 1963|Guam|Clarke 1866|-100.000000|-248.000000|259.000000|0.000000|0.000000|0.000000|0.000000
Gunung Segara|Indonesia (Kalimantan)|Bessel 1841|-403.000000|684.000000|41.000000|0.000000|0.000000|0.000000|0.000000
GUX 1 Astro|Guadalcanal Island|International 1924|252.000000|-209.000000|-751.000000|0.000000|0.000000|0.000000|0.000000
Herat North|Afghanistan|International 1924|-333.000000|-222.000000|114.000000|0.000000|0.000000|0.000000|0.000000
Hermannskogel Datum|Croatia, Serbia, Bosnia-Herzegovina|Bessel 1841 (Namibia)|653.000000|-212.000000|449.000000|0.000000|0.000000|0.000000|0.000000
Hjorsey 1955|Iceland|International 1924|-73.000000|46.000000|-86.000000|0.000000|0.000000|0.000000|0.000000
Hong Kong 1963|Hong Kong|International 1924|-156.000000|-271.000000|-189.000000|0.000000|0.000000|0.000000|0.000000
Hu-Tzu-Shan|Taiwan|International 1924|-637.000000|-549.000000|-203.000000|0.000000|0.000000|0.000000|0.000000
Indian|Bangladesh|Everest 1830 (India)|282.000000|726.000000|254.000000|0.000000|0.000000|0.000000|0.000000
Indian|India; Nepal|Everest 1856 (India)|295.000000|736.000000|257.000000|0.000000|0.000000|0.000000|0.000000
Indian|Pakistan|Everest (Pakistan)|283.000000|682.000000|231.000000|0.000000|0.000000|0.000000|0.000000
Indian 1954|Thailand|Everest 1830 (India)|217.000000|823.000000|299.000000|0.000000|0.000000|0.000000|0.000000
Indian 1960|Vietnam (Con Son Island)|Everest 1830 (India)|182.000000|915.000000|344.000000|0.000000|0.000000|0.000000|0.000000
Indian 1960|Vietnam (Near 16oslashN)|Everest 1830 (India)|198.000000|881.000000|317.000000|0.000000|0.000000|0.000000|0.000000
Indian 1975|Thailand|Everest 1830 (India)|210.000000|814.000000|289.000000|0.000000|0.000000|0.000000|0.000000
Indonesian 1974|Indonesia|Indonesian 1974|-24.000000|-15.000000|5.000000|0.000000|0.000000|0.000000|0.000000
Ireland 1965|Ireland|Modified Airy|482.5|-130.6|564.6|1.042|0.214|0.631|8.15
ISTS 061 Astro 1968|South Georgia Islands|International 1924|-794.000000|119.000000|-298.000000|0.000000|0.000000|0.000000|0.000000
ISTS 073 Astro 1969|Diego Garcia|International 1924|208.000000|-435.000000|-229.000000|0.000000|0.000000|0.000000|0.000000
Johnston Island 1961|Johnston Island|International 1924|189.000000|-79.000000|-202.000000|0.000000|0.000000|0.000000|0.000000
Kandawala|Sri Lanka|Everest 1830 (India)|-97.000000|787.000000|86.000000|0.000000|0.000000|0.000000|0.000000
Kerguelen Island 1949|Kerguelen Island|International 1924|145.000000|-187.000000|103.000000|0.000000|0.000000|0.000000|0.000000
Kertau 1948|West Malaysia and Singapore|Everest 1964 (Malaysia, Singapore)|-11.000000|851.000000|5.000000|0.000000|0.000000|0.000000|0.000000
Kusaie Astro 1951|Caroline Islands|International 1924|647.000000|1777.000000|-1124.000000|0.000000|0.000000|0.000000|0.000000
Korean Geodetic System|South Korea|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
L. C. 5 Astro 1961|Cayman Brac Island|Clarke 1866|42.000000|124.000000|147.000000|0.000000|0.000000|0.000000|0.000000
Leigon|Ghana|Clarke 1880|-130.000000|29.000000|364.000000|0.000000|0.000000|0.000000|0.000000
Liberia 1964|Liberia|Clarke 1880|-90.000000|40.000000|88.000000|0.000000|0.000000|0.000000|0.000000
Lisbon/Lisboa 1973 (DLx)|Portugal|International 1924|-288.880000|-91.740000|126.240000|1.6910|-0.4100|0.2110|-4.598
Luzon|Philippines (Excluding Mindanao)|Clarke 1866|-133.000000|-77.000000|-51.000000|0.000000|0.000000|0.000000|0.000000
Luzon|Philippines (Mindanao)|Clarke 1866|-133.000000|-79.000000|-72.000000|0.000000|0.000000|0.000000|0.000000
M'Poraloko|Gabon|Clarke 1880|-74.000000|-130.000000|42.000000|0.000000|0.000000|0.000000|0.000000
Mahe 1971|Mahe Island|Clarke 1880|41.000000|-220.000000|-134.000000|0.000000|0.000000|0.000000|0.000000
Massawa|Ethiopia (Eritrea)|Bessel 1841|639.000000|405.000000|60.000000|0.000000|0.000000|0.000000|0.000000
Merchich|Morocco|Clarke 1880|31.000000|146.000000|47.000000|0.000000|0.000000|0.000000|0.000000
Midway Astro 1961|Midway Islands|International 1924|912.000000|-58.000000|1227.000000|0.000000|0.000000|0.000000|0.000000
Minna|Cameroon|Clarke 1880|-81.000000|-84.000000|115.000000|0.000000|0.000000|0.000000|0.000000
Minna|Nigeria|Clarke 1880|-92.000000|-93.000000|122.000000|0.000000|0.000000|0.000000|0.000000
Montserrat Island Astro 1958|Montserrat (Leeward Islands)|Clarke 1880|174.000000|359.000000|365.000000|0.000000|0.000000|0.000000|0.000000
Nahrwan|Oman (Masirah Island)|Clarke 1880|-247.000000|-148.000000|369.000000|0.000000|0.000000|0.000000|0.000000
Nahrwan|Saudi Arabia|Clarke 1880|-243.000000|-192.000000|477.000000|0.000000|0.000000|0.000000|0.000000
Nahrwan|United Arab Emirates|Clarke 1880|-249.000000|-156.000000|381.000000|0.000000|0.000000|0.000000|0.000000
Naparima BWI|Trinidad and Tobago|International 1924|-10.000000|375.000000|165.000000|0.000000|0.000000|0.000000|0.000000
NEW ISRAELI DATUM (NID)|Israel|GRS 80|-23.500000|-18.190000|-17.530000|0.3|1.84|-1.64|5.43
North American 1927|Alaska (Excluding Aleutian Ids)|Clarke 1866|-5.000000|135.000000|172.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Alaska (Aleutian Ids East of 180W)|Clarke 1866|-2.000000|152.000000|149.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Alaska (Aleutian Ids West of 180W)|Clarke 1866|2.000000|204.000000|105.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Bahamas (Except San Salvador Id)|Clarke 1866|-4.000000|154.000000|178.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Bahamas (San Salvador Island)|Clarke 1866|1.000000|140.000000|165.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canada (Alberta; British Columbia)|Clarke 1866|-7.000000|162.000000|188.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canada (Manitoba; Ontario)|Clarke 1866|-9.000000|157.000000|184.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canada (New Brunswick; Newfoundland; Nova Scotia; Quebec)|Clarke 1866|-22.000000|160.000000|190.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canada (Northwest Territories; Saskatchewan)|Clarke 1866|4.000000|159.000000|188.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canada (Yukon)|Clarke 1866|-7.000000|139.000000|181.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Canal Zone|Clarke 1866|0.000000|125.000000|201.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Cuba|Clarke 1866|-9.000000|152.000000|178.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Greenland (Hayes Peninsula)|Clarke 1866|11.000000|114.000000|195.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Antigua; Barbados; Barbuda; Caicos Islands|Clarke 1866|-3.000000|142.000000|183.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Cuba; Dominican Republic; Grand Cayman|Clarke 1866|-3.000000|142.000000|183.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Jamaica; Turks Islands|Clarke 1866|-3.000000|142.000000|183.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Belize; Costa Rica; El Salvador|Clarke 1866|0.000000|125.000000|194.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Guatemala; Honduras; Nicaragua|Clarke 1866|0.000000|125.000000|194.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN Canada|Clarke 1866|-10.000000|158.000000|187.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN FOR CONUS|Clarke 1866|-8.000000|160.000000|176.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN CONUS (Mississippi E; River Incl. Louisiana; Missouri; Minnesota)|Clarke 1866|-9.000000|161.000000|179.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|MEAN CONUS (Mississippi W; River Excl. Louisiana; Minnesota; Missouri)|Clarke 1866|-8.000000|159.000000|175.000000|0.000000|0.000000|0.000000|0.000000
North American 1927|Mexico|Clarke 1866|-12.000000|130.000000|190.000000|0.000000|0.000000|0.000000|0.000000
North American 1983||GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|Alaska (Excluding Aleutian Ids)|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|Aleutian Ids|GRS 80|-2.000000|0.000000|4.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|Canada|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|CONUS|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|Hawaii|GRS 80|1.000000|1.000000|-1.000000|0.000000|0.000000|0.000000|0.000000
North American 1983|Mexico; Central America|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
North Sahara 1959|Algeria|Clarke 1880|-186.000000|-93.000000|310.000000|0.000000|0.000000|0.000000|0.000000
NTF (Paris)|Centre France|Clarke 1880|-168|-60|320|0.000000|0.000000|0.000000|0.000000
NZGD2000|New Zealand|GRS 80|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
Observatorio Meteorologico 1939|Azores (Corvo and Flores Islands)|International 1924|-425.000000|-169.000000|81.000000|0.000000|0.000000|0.000000|0.000000
Old Egyptian 1907|Egypt|Helmert 1906|-130.000000|110.000000|-13.000000|0.000000|0.000000|0.000000|0.000000
Old Hawaiian|Hawaii|Clarke 1866|89.000000|-279.000000|-183.000000|0.000000|0.000000|0.000000|0.000000
Old Hawaiian|Kauai|Clarke 1866|45.000000|-290.000000|-172.000000|0.000000|0.000000|0.000000|0.000000
Old Hawaiian|Maui|Clarke 1866|65.000000|-290.000000|-190.000000|0.000000|0.000000|0.000000|0.000000
Old Hawaiian|MEAN FOR Hawaii; Kauai; Maui; Oahu|Clarke 1866|61.000000|-285.000000|-181.000000|0.000000|0.000000|0.000000|0.000000
Old Hawaiian|Oahu|Clarke 1866|58.000000|-283.000000|-182.000000|0.000000|0.000000|0.000000|0.000000
OLD ISRAELI DATUM (OID)|Israel|Clarke 1880|-275.720000|94.780000|340.900000|0.000000|0.000000|0.000000|0.000000
Oman|Oman|Clarke 1880|-346.000000|-1.000000|224.000000|0.000000|0.000000|0.000000|0.000000
Ordnance Survey Great Britain 1936|England|Airy 1830|371.000000|-112.000000|434.000000|0.000000|0.000000|0.000000|0.000000
Ordnance Survey Great Britain 1936|England; Isle of Man; Wales|Airy 1830|371.000000|-111.000000|434.000000|0.000000|0.000000|0.000000|0.000000
Ordnance Survey Great Britain 1936|MEAN FOR England; Isle of Man; Scotland; Shetland Islands; Wales|Airy 1830|375.000000|-111.000000|431.000000|0.000000|0.000000|0.000000|0.000000
Ordnance Survey Great Britain 1936|Scotland; Shetland Islands|Airy 1830|384.000000|-111.000000|425.000000|0.000000|0.000000|0.000000|0.000000
Ordnance Survey Great Britain 1936|Wales|Airy 1830|370.000000|-108.000000|434.000000|0.000000|0.000000|0.000000|0.000000
Pico de las Nieves|Canary Islands|International 1924|-307.000000|-92.000000|127.000000|0.000000|0.000000|0.000000|0.000000
Pitcairn Astro 1967|Pitcairn Island|International 1924|185.000000|165.000000|42.000000|0.000000|0.000000|0.000000|0.000000
Point 58|MEAN FOR Burkina Faso; Niger|Clarke 1880|-106.000000|-129.000000|165.000000|0.000000|0.000000|0.000000|0.000000
Pointe Noire 1948|Congo|Clarke 1880|-148.000000|51.000000|-291.000000|0.000000|0.000000|0.000000|0.000000
Porto Santo 1936|Porto Santo; Madeira Islands|International 1924|-499.000000|-249.000000|314.000000|0.000000|0.000000|0.000000|0.000000
Potsdam Rauenberg DHDN|Poland|Bessel 1841|606.0|23.0|413.0|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Bolivia|International 1924|-270.000000|188.000000|-388.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Chile (Northern; Near 19S)|International 1924|-270.000000|183.000000|-390.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Chile (Southern; Near 43S)|International 1924|-305.000000|243.000000|-442.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Colombia|International 1924|-282.000000|169.000000|-371.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Ecuador|International 1924|-278.000000|171.000000|-367.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Guyana|International 1924|-298.000000|159.000000|-369.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|MEAN Bolivia; Chile; Colombia|International 1924|-288.000000|175.000000|-376.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|MEAN Ecuador; Guyana; Peru; Venezuela|International 1924|-288.000000|175.000000|-376.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Peru|International 1924|-279.000000|175.000000|-379.000000|0.000000|0.000000|0.000000|0.000000
Provisional South American 1956|Venezuela|International 1924|-295.000000|173.000000|-371.000000|0.000000|0.000000|0.000000|0.000000
Provisional South Chilean 1963|Chile (Near 53S) (Hito XVIII)|International 1924|16.000000|196.000000|93.000000|0.000000|0.000000|0.000000|0.000000
Puerto Rico|Puerto Rico; Virgin Islands|Clarke 1866|11.000000|72.000000|-101.000000|0.000000|0.000000|0.000000|0.000000
Pulkovo 1942|Russia|Krassovsky 1940|28.000000|-130.000000|-95.000000|0.000000|0.000000|0.000000|0.000000
Qatar National|Qatar|International 1924|-128.000000|-283.000000|22.000000|0.000000|0.000000|0.000000|0.000000
Qornoq|Greenland (South)|International 1924|164.000000|138.000000|-189.000000|0.000000|0.000000|0.000000|0.000000
Reunion|Mascarene Islands|International 1924|94.000000|-948.000000|-1262.000000|0.000000|0.000000|0.000000|0.000000
Rijksdriehoeksmeting|Nederland|Bessel 1841|565.04|49.91|465.84|0.4094|-0.3597|1.8685|4.0772
Rome 1940|Italy (Sardinia)|International 1924|-225.000000|-65.000000|9.000000|0.000000|0.000000|0.000000|0.000000
RT90|Swedish|Bessel 1841|414.1|41.3|603.1|0.855|-2.141|7.023|0.0
S-42 (Pulkovo 1942)|Hungary|Krassovsky 1940|28.000000|-121.000000|-77.000000|0.000000|0.000000|0.000000|0.000000
S-42 (Pulkovo 1942)|Poland|Krassovsky 1940|33.4|-146.6|-76.3|0.359|0.053|-0.844|-0.84
S-42 (Pulkovo 1942)|Czechoslavakia|Krassovsky 1940|26.000000|-121.000000|-78.000000|0.000000|0.000000|0.000000|0.000000
S-42 (Pulkovo 1942)|Latvia|Krassovsky 1940|24.000000|-124.000000|-82.000000|0.000000|0.000000|0.000000|0.000000
S-42 (Pulkovo 1942)|Kazakhstan|Krassovsky 1940|15.000000|-130.000000|-84.000000|0.000000|0.000000|0.000000|0.000000
S-42 (Pulkovo 1942)|Albania|Krassovsky 1940|24.000000|-130.000000|-92.000000|0.000000|0.000000|0.000000|0.000000
S-42 (Pulkovo 1942)|Romania|Krassovsky 1940|28.000000|-121.000000|-77.000000|0.000000|0.000000|0.000000|0.000000
S-JTSK|Czechoslavakia (Prior 1 JAN 1993)|Bessel 1841|589.000000|76.000000|480.000000|0.000000|0.000000|0.000000|0.000000
Santo (DOS) 1965|Espirito Santo Island|International 1924|170.000000|42.000000|84.000000|0.000000|0.000000|0.000000|0.000000
Sao Braz|Azores (Sao Miguel; Santa Maria Ids)|International 1924|-203.000000|141.000000|53.000000|0.000000|0.000000|0.000000|0.000000
Sapper Hill 1943|East Falkland Island|International 1924|-355.000000|21.000000|72.000000|0.000000|0.000000|0.000000|0.000000
Schwarzeck|Namibia|Bessel 1841 (Namibia)|616.000000|97.000000|-251.000000|0.000000|0.000000|0.000000|0.000000
Selvagem Grande 1938|Salvage Islands|International 1924|-289.000000|-124.000000|60.000000|0.000000|0.000000|0.000000|0.000000
Sierra Leone 1960|Sierra Leone|Clarke 1880|-88.000000|4.000000|101.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Argentina|South American 1969|-62.000000|-1.000000|-37.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Bolivia|South American 1969|-61.000000|2.000000|-48.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Brazil|South American 1969|-60.000000|-2.000000|-41.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Chile|South American 1969|-75.000000|-1.000000|-44.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Colombia|South American 1969|-44.000000|6.000000|-36.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Ecuador|South American 1969|-48.000000|3.000000|-44.000000|0.000000|0.000000|0.000000|0.000000
